name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_transformed,Accept_transformed,Enroll_transformed,Top10perc_transformed,F.Undergrad_transformed,P.Undergrad_transformed,Outstate_transformed,Books_transformed,Personal_transformed,PhD_transformed,Terminal_transformed,S.F.Ratio_transformed,perc.alumni_transformed,Expend_transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Binary,Apps_transformed_scaled,Accept_transformed_scaled,Enroll_transformed_scaled,Top10perc_transformed_scaled,F.Undergrad_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,PhD_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Binary_scaled
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,5.755090956791713,5.708729562313823,3.9835610267343373,5.938297343999169,3.6856495066607424,5.982712467555968,78.72268540101582,9.521846755027648,8.183897511239495,3439.822698933896,46823.40870445627,5.563890873647727,3.4657359027997265,1.831935246877608,0.8227482678983834,High,2,1,0.06748238366850189,0.18775308776651256,0.056018465230557216,0.7226458157909562,-0.012674055439693757,-0.6681269626758217,1.4088462913452764,-0.2291946039516519,-1.4016057556008417,0.5594977786457802,0.5124477851823425,-0.6789541283407586,0.7487430981377603,0.6391260070100195,0.5157537502634537,1.8150779933081982,0.6125530498969481
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,5.998914390891074,5.881100131055614,3.9933039577241956,6.384759375706862,3.6721126498638426,4.588789834932753,79.61370545201353,9.032160306951633,8.183897511239495,2724.2061589730774,51116.35602619839,5.004898062218455,3.7376696182833684,1.8323710965587676,0.7164404223227753,High,2,1,0.459000382681299,0.47348271760565924,0.08273597384868624,1.0296888476949617,-0.08489100248516802,-1.1623087972167596,1.5045123674303469,-1.0385747644227592,-1.4016057556008417,-0.09060810988813835,0.7816568116943878,-1.0739217798372556,1.1929497028195202,0.7928286551963845,-0.20738347780626848,1.8150779933081982,0.6125530498969481
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60.0,84,13.3,21,7940,74,5.528389402746837,5.336338360156261,3.7869104666120648,6.005729697666701,3.5874775549906173,9.037396713903654,65.03004828915206,9.932527964405688,9.020229620808045,1838.0464345172456,41456.75591363073,6.317705088840353,3.091042453358316,1.8296827172602483,0.6615776081424937,Medium,1,1,-0.29654226039655907,-0.4295402304868231,-0.48324564741642817,0.7690207208177242,-0.5364055790483299,0.4148380667121805,-0.061289944401662744,0.4496014388117547,-0.38127720177114266,-0.8956449178437978,0.17590711389826053,-0.14633148248231995,0.13667737956055104,-0.15522989657869318,-0.5805764736347528,0.3581403891754813,0.6125530498969481
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79.0,87,15.3,32,9305,68,5.571303850748826,5.53935658427649,3.903093256109447,6.384759375706862,3.6180499258586956,3.9463123049721003,71.37842830891935,9.032160306951633,7.542235485378162,3191.9953654123665,45443.82519345305,7.0284946523737215,3.4965075614664802,1.8308489742093965,0.8524072612470402,Medium,1,1,-0.22763264605805186,-0.09300759355290636,-0.16464391628379804,1.0296888476949617,-0.3733069128542516,-1.3900837948934837,0.6203160478629941,-1.0385747644227592,-2.1844360205206956,0.3343576374315665,0.4259346495311623,0.35589122750062535,0.7990089285165864,0.2560513072365705,0.7175029449852314,0.3581403891754813,0.6125530498969481
Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36.0,69,11.1,26,8127,55,4.991633385594112,4.74168216694666,3.5173102663510467,4.810280968585637,3.6197918720520783,10.32941769651916,61.653322067093875,10.115893212874479,10.565285326374507,659.3880213335646,24776.67217560797,5.485757336611017,3.295836866004329,1.8298601983174199,0.6336032388663968,Low,0,1,-1.1584349762053046,-1.4152705393648974,-1.2225555821189287,-0.053119072030679164,-0.36401391094908286,0.872893115472483,-0.4238386292670067,0.7526774067369608,1.5036970035839818,-1.9664038120173581,-0.8700943318940553,-0.7341609556836695,0.47121122188858366,-0.09264109665666519,-0.7708663600093951,-1.0987972149572356,0.6125530498969481
American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78.0,84,14.7,19,7355,69,5.638810341012978,5.546734436461123,3.6686745141345023,2.949204668711685,3.5648233216620397,7.583292703632015,62.56390370625873,9.28888019207096,9.588655932737819,3111.4506224560782,41456.75591363073,6.819270625421226,2.995732273553991,1.8290831651445847,0.7697183098591549,Low,0,1,-0.11923450915941827,-0.08077771585910469,-0.8074776554826101,-1.3330274833513371,-0.6572622589402508,-0.10067963175366583,-0.3260722857638828,-0.6142542984789047,0.31220519615957604,0.2611863106631819,0.17590711389826053,0.20805976907672294,-0.019012808716357025,-0.3666623052432123,0.15502838090331927,-1.0987972149572356,0.6125530498969481
Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,75.0,98,8.4,63,21424,100,6.266764828378472,5.486772751302792,3.935877184643744,8.20001615554453,3.658459584056988,1.7444792019657311,83.8450796425872,10.151083734530816,9.816036908956328,2876.0084132069483,62055.431121210495,4.370566609326042,4.1588830833596715,1.8355717150466038,0.23059042305904232,High,2,1,0.8890995965125372,-0.18017304900606554,-0.07474233594180844,2.2780860366648286,-0.15772790585019517,-2.1706909080364514,1.958821970010619,0.8108421980583805,0.589610906138956,0.0472975055627926,1.467641878959388,-1.5221214688076337,1.8810063596964015,1.921528660450019,-3.512278049067009,1.8150779933081982,0.6125530498969481
Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48.0,61,12.1,14,7994,59,5.546838255829398,5.43170310050113,3.9405832532137994,4.394249799363181,3.684484663748429,7.54637209985175,66.002883773408,9.735330960613702,9.179807776613403,1174.6238155874432,17947.080041564655,5.8711895619635985,2.70805020110221,1.8297346255622378,0.7467105263157895,Medium,1,1,-0.26691812656526537,-0.27145911398680356,-0.06183714060491797,-0.3392340437249904,-0.018888304447196087,-0.11376894624033462,0.04316040253595542,0.12366360001576755,-0.18659120673062196,-1.498334943952575,-1.2983753500580535,-0.4618260387652622,-0.488944521318963,-0.13692440314021118,-0.0014773287692968597,0.3581403891754813,0.6125530498969481
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62.0,66,11.5,18,10908,46,5.502977625509524,5.271430634015944,3.830416361591843,3.7701053698334652,3.657582652161605,7.807593569134601,65.75860856789679,10.881155996328122,9.488227278086839,1963.0383410019397,22055.92836451695,5.641488213824212,2.9444389791664403,1.8319210608491145,0.6230088495575221,Medium,1,1,-0.33734706741628784,-0.5371343557435257,-0.3639418028883701,-0.7684736752694478,-0.1624061960324376,-0.02115914000686885,0.016933326759192444,2.0175449906937217,0.18968183158858168,-0.7820953142680762,-1.0407110988557453,-0.6241261617099947,-0.10280094841912382,0.6341232956603398,-0.8429325116318768,0.3581403891754813,0.6125530498969481
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60.0,62,23.1,5,4010,34,6.159956447207543,5.911770375574021,4.264786904291415,4.90575996229404,3.8319261930149136,10.742445005765433,51.7116405815737,9.521846755027648,10.2068887785124,1838.0464345172456,18727.219793357373,9.508587325922857,1.791759469228055,1.823338696181014,0.5652542372881356,Low,0,0,0.7175926868986038,0.5243231695301871,0.8272088611281935,0.012544204192919739,0.7676884667409246,1.0193220410253423,-1.4912463226655415,-0.2291946039516519,1.066451766681205,-0.8956449178437978,-1.2494530951634284,2.1082507547381426,-1.9857151375821298,-2.3924526873218346,-1.2357963684675608,-1.0987972149572356,-1.6325116659989423
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69.0,82,11.3,35,42926,48,5.22220392427682,5.231297615981355,3.727423622979746,4.998323204843082,3.483184035739624,3.6755348752820938,76.86837151233183,9.032160306951633,9.179807776613403,2432.980805886118,38923.295934475835,5.563890873647727,3.58351893845611,1.8381648399288493,0.9270687237026648,High,2,1,-0.7881977335472875,-0.603660749843487,-0.6463731763978171,0.07620224590010687,-1.092794678079059,-1.4860814376784817,1.209754325500277,-1.0385747644227592,-0.18659120673062196,-0.3551734271494861,0.01703484187169807,-0.6789541283407586,0.9411429344911897,2.8359956859131503,1.2253721686672496,1.8150779933081982,0.6125530498969481
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83.0,96,18.3,14,5854,70,6.54989071997773,6.397624141824499,4.472753552190103,4.503953018570464,3.9586883225708447,9.975521285593517,57.274762274226106,6.21220062523768,10.2068887785124,3524.4964302674875,58795.90038007271,8.030178088121435,2.70805020110221,1.8271398637156389,0.6377683577191303,Low,0,0,1.3437272780440968,1.3296974152615388,1.3975044645046737,-0.2637884142137955,1.4439439767799103,0.7474276315958315,-0.8939510962294311,-5.699556150931114,1.066451766681205,0.6364201082318471,1.2632379969775114,1.0636508731902279,-0.488944521318963,-1.0519687050520372,-0.7425339967163727,-1.0987972149572356,-1.6325116659989423
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55.0,65,12.7,25,6584,65,5.134098490891557,5.071894615272139,3.6666823225840233,4.503953018570464,3.609063591994482,9.389184617710773,68.50835131369257,8.745786153121648,9.834323266073229,1543.5979209648558,21192.12243816821,6.096499940947927,3.258096538021482,1.828170389974447,0.8336025848142165,Medium,1,1,-0.9296724983030674,-0.8678947238934365,-0.8129407337877209,-0.2637884142137955,-0.42124755421152005,0.5395560299649554,0.31216472861049205,-1.5119094043589478,0.6119203357285081,-1.1631383334388996,-1.094880026424442,-0.3026284436876273,0.4095619963667674,-0.6885530095696396,0.5895880059066398,0.3581403891754813,0.6125530498969481
Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88.0,93,18.9,5,4602,48,6.837344770841847,6.82784334645068,4.674678225055445,4.90575996229404,4.058862980588527,14.34667500916723,59.12503624240117,10.287356219704934,10.292735461642394,3963.3530380643106,54108.59763306137,8.222602697493853,1.791759469228055,1.8248132260878547,0.8047466625029276,Low,0,0,1.8053048750382341,2.0428491730402856,1.9512314890631361,0.012544204192919739,1.9783596156465513,2.297115337082717,-0.6952928841954168,1.0360807080301793,1.171185067061469,1.0351018728628827,0.9692990979140862,1.1996123641074883,-1.9857151375821298,-1.8724588424063098,0.39330153654403927,-1.0987972149572356,-1.6325116659989423
Arkansas College (Lyon College),Yes,708,334,166,46,74,530,182,8644,3922,500,800,79.0,88,12.6,24,14579,54,5.2178396738875765,4.785224965567644,3.542861981830178,6.502523683542768,3.4107878434048406,6.804177867491144,62.41900937969626,9.521846755027648,8.650998387185288,3191.9953654123665,46823.40870445627,6.059240608651982,3.2188758248682006,1.8336546318953009,0.4717514124293785,Low,0,1,-0.7952056021137317,-1.343091931247804,-1.1524865054486442,1.1106782881401172,-1.4790166841604393,-0.37689610893187386,-0.34162914293415475,-0.2291946039516519,-0.8317407990918487,0.3343576374315665,0.5124477851823425,-0.32895477682173246,0.34549454598816776,1.2454681517793549,-1.871830079986632,-1.0987972149572356,0.6125530498969481
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57.0,60,19.6,5,4739,48,5.755761698858027,5.824969423189585,4.241816529534889,3.473099970406587,3.8071657289827905,9.783155447783617,44.80806703121592,9.28888019207096,9.020229620808045,1658.2867737090962,17187.345783259294,8.444119375767272,1.791759469228055,1.8251133777661102,0.9971164936562861,Low,0,0,0.06855942366930087,0.38043779411181816,0.7642184544263523,-0.9727316677869278,0.6355953858538823,0.6792289379186931,-2.2324617327877823,-0.6142542984789047,-0.38127720177114266,-1.0589485972397998,-1.3460179845367914,1.3561294433902287,-1.9857151375821298,-1.7666101753091932,1.7018576991796808,-1.0987972149572356,-1.6325116659989423
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93.0,93,13.8,30,7100,88,5.875756050770481,5.814863400265543,3.9988595370308873,4.810280968585637,3.6722274540570745,9.183530203047702,70.20106399479539,9.521846755027648,7.892981014082466,4428.029350733145,54108.59763306137,6.499091684336911,3.4339872044851463,1.8287982470256774,0.7962529274004684,Medium,1,1,0.26123962574723714,0.36368557121025114,0.09797073617634125,-0.053119072030679164,-0.08427854063618628,0.4666461901064971,0.49390607097335004,-0.2291946039516519,-1.7565250579131293,1.4572396942508257,0.9692990979140862,-0.018169123018266124,0.696881263144984,-0.4671388486143458,0.3355246525831801,0.3581403891754813,0.6125530498969481
Auburn University-Main Campus,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85.0,91,16.7,18,6642,69,6.5664259314045506,6.604393590391482,4.616367210407903,4.998323204843082,4.020894256328617,11.004992786854233,55.70053533521516,9.932527964405688,10.124324546348268,3696.941267081089,51116.35602619839,7.504643909305106,2.9444389791664403,1.8282446993507002,0.8997085320614733,Low,0,0,1.3702785934047195,1.6724482597493227,1.7913283718185165,0.07620224590010687,1.7758025973961926,1.1124020592964763,-1.0629709897256059,0.4496014388117547,0.9657230697457871,0.7930785944456105,0.7816568116943878,0.6923240937679691,-0.10280094841912382,-0.6623477640253405,1.0392600991794334,-1.0987972149572356,-1.6325116659989423
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65.0,65,12.8,31,7836,58,5.176065717707329,5.068108427769527,3.7358222090176034,3.473099970406587,3.7094875265638216,9.283565390234328,69.9956703413792,9.694027010948128,8.934814419422105,2158.256391919805,21192.12243816821,6.133645307514049,3.4657359027997265,1.8295811951503256,0.7749244712990937,Medium,1,1,-0.8622838786335921,-0.8741708878669022,-0.623342191668465,-0.9727316677869278,0.11449793484123197,0.502111266263199,0.4718535875829905,0.05539420530459672,-0.4854840926797661,-0.6047483730462211,-1.094880026424442,-0.27638263533977875,0.7487430981377603,-0.19103172876789828,0.19044222201896147,0.3581403891754813,0.6125530498969481
Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78.0,83,12.7,40,9220,71,5.802298962839009,5.799895514559989,4.003549236833856,5.869495015931659,3.697827618200751,4.377246964093502,72.93046543746249,9.694027010948128,8.693560796343053,3111.4506224560782,40177.688977444705,6.096499940947927,3.713572066704308,1.8307842087388648,0.8823842469398616,Medium,1,1,0.14328635277136295,0.3388740939764009,0.11083104433542443,0.675328745331237,0.05229420487314884,-1.2373062479710122,0.7869534898148401,0.05539420530459672,-0.7798144878972988,0.2611863106631819,0.09569733284866454,-0.3026284436876273,1.1535860970634626,0.23321172569719256,0.9214152171455692,0.3581403891754813,0.6125530498969481
Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66.0,70,10.4,30,6871,69,5.2625024368532864,5.290088085451935,3.8093196450691797,4.609647768547939,3.62291406646575,7.660958564050375,68.02870056722396,9.932527964405688,9.054929879129054,2225.3908441732233,25727.357029277508,5.207867505648501,3.4339872044851463,1.8285285876191586,0.9526938239159002,Medium,1,1,-0.7234886416365378,-0.5062068793682908,-0.42179417873863634,-0.1910995085854955,-0.3473575074707333,-0.07314506384833197,0.26066610660468426,0.4496014388117547,-0.33894274637344624,-0.5437597006270006,-0.8104772611976783,-0.9305096236198235,0.696881263144984,-0.5622343980249318,1.3996816360153455,0.3581403891754813,0.6125530498969481
Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81.0,95,13.0,33,11361,71,5.397006827825975,5.35072097038512,3.7940635147070445,6.262942194174836,3.5855683926121436,3.1049799334202035,68.66542055013768,9.032160306951633,9.254619779877157,3356.181327603026,57206.70743459923,6.207599060205051,3.5263605246161616,1.8321809780507936,0.8417721518987342,Medium,1,1,-0.5075090324304683,-0.40569893364125426,-0.4636302335001798,0.9459121453121655,-0.5465906523231704,-1.6883580068917186,0.32902876832268085,-1.0385747644227592,-0.09532026038541107,0.4835133023364041,1.1635803366973685,-0.22412911897517096,0.8477740600370556,0.7257832507645184,0.6451598036797981,0.3581403891754813,0.6125530498969481
Averett College,Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59.0,67,22.4,11,6523,48,5.142138629605635,5.120239824085588,3.5590244246483778,4.037027549018027,3.5037271467486533,8.71737810776415,65.59088322302608,10.448461969422015,9.526532156293346,1777.0962231408664,22941.155750332633,9.30101134322099,2.4849066497880004,1.8280911398037578,0.886762360446571,Medium,1,1,-0.9167620943759427,-0.7877554128753497,-1.1081651194371072,-0.5849046607537621,-0.9832004951644471,0.3013831459239031,-0.001074826464552071,1.3023649764046783,0.23641393781517428,-0.9510154817010009,-0.9851988400469104,1.9615837552373678,-0.8534518760234878,-0.7165006291979146,0.9511964327113076,0.3581403891754813,0.6125530498969481
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58.0,68,11.0,21,6136,65,5.116636653484124,5.028890807098795,3.6397869887449383,4.609647768547939,3.5513983475865776,8.451834948178204,62.35672301704291,9.032160306951633,10.414659937032676,1717.176370806624,23848.004199077237,5.446485308095454,3.091042453358316,1.8275603335132906,0.8023255813953488,Low,0,1,-0.957711737706359,-0.9391798758815909,-0.8866943418530147,-0.1910995085854955,-0.7288823297174306,0.20724118805424357,-0.3483166376790663,-1.0385747644227592,1.3199334198128518,-1.0054500100654609,-0.9283307329438812,-0.7619093999483375,0.13667737956055104,-0.9036897818932241,0.3768326308712091,-1.0987972149572356,0.6125530498969481
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68.0,74,17.6,20,8086,85,5.740810196339767,5.683103256145474,4.111738825707037,5.42374736044689,3.7588130173894734,10.670423504010902,68.03977144170719,11.135873380654385,9.020229620808045,2362.752960444352,29754.174387837,7.802551862710342,3.044522437723423,1.829821827737316,0.808284023668639,Medium,1,1,0.04455113927364109,0.14527370727206387,0.4075134570631678,0.3687770077049723,0.3776414704782418,0.9937885450977617,0.2618547522692284,2.4385556153715937,-0.38127720177114266,-0.4189723100864871,-0.5579571392876599,0.9028169700855416,0.060686441260878146,-0.10617250445471191,0.4173637074421859,0.3581403891754813,0.6125530498969481
Barat College,Yes,261,192,111,15,36,453,266,9690,4300,500,500,57.0,77,9.7,35,9337,71,4.575781894199479,4.407638193169405,3.353376224730402,3.9068791807486942,3.3703396409337936,7.450865680203919,65.03004828915206,9.521846755027648,7.892981014082466,1658.2867737090962,33014.976620545895,4.922598019537103,3.58351893845611,1.8308731205994737,0.735632183908046,Medium,1,1,-1.8261859838092964,-1.968997673144619,-1.6721029692823495,-0.6744109272506593,-1.6948013186411106,-0.14762845649391362,-0.061289944401662744,-0.2291946039516519,-1.7565250579131293,-1.0589485972397998,-0.35347352257287784,-1.1320725358242631,0.9411429344911897,0.2645665459976302,-0.07683547168872246,0.3581403891754813,0.6125530498969481
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98.0,98,10.4,30,13894,79,5.811747969199109,5.38147765695718,3.779613733202683,6.727069965106191,3.561778676123819,3.1049799334202035,83.09173877871021,10.448461969422015,8.545341066409259,4918.533783227454,62055.431121210495,5.207867505648501,3.4339872044851463,1.833385568016347,0.4387434554973822,High,2,1,0.15845903736761868,-0.3547151912688672,-0.503255081738839,1.2651043449994013,-0.6735049516794012,-1.6883580068917186,1.87793808381642,1.3023649764046783,-0.9606431574678065,1.902841217007688,1.467641878959388,-0.9305096236198235,0.696881263144984,1.150582615517194,-2.09635990984827,1.8150779933081982,0.6125530498969481
