GrLivArea,TotalBsmtSF,OverallQual,YearBuilt,LotFrontage,MasVnrArea,Neighborhood,BldgType,CentralAir,GarageType,KitchenQual,BsmtQual,SalePrice
1250,625,7,2006,35.0,0.0,Somerst,TwnhsE,Y,Detchd,Gd,Gd,164700
1734,912,6,1962,77.0,0.0,NAmes,1Fam,Y,Attchd,Gd,TA,159000
858,858,4,1971,,0.0,NAmes,1Fam,Y,,TA,TA,88000
900,882,5,1967,,31.0,Sawyer,1Fam,Y,Detchd,TA,TA,122000
1396,698,6,1915,60.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,153575
1919,1079,8,2006,120.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,233230
1716,780,5,1912,55.0,0.0,SWISU,2fmCon,N,,Fa,TA,135900
1716,768,5,1949,60.0,0.0,Edwards,1Fam,Y,Attchd,TA,TA,131000
2263,795,7,1977,,34.0,NWAmes,1Fam,Y,Attchd,Gd,TA,235000
1644,1416,6,1953,80.0,238.0,NAmes,1Fam,Y,Attchd,TA,TA,167000
1003,1003,6,1984,37.0,0.0,Mitchel,1Fam,Y,Detchd,TA,TA,142500
1558,910,5,1950,75.0,0.0,IDOTRR,1Fam,Y,Attchd,TA,TA,152000
