title,name,location,time,verified,review,aircraft,travel,seat_type,route,flown,rating,comf_rating,cabin_rating,food_rating,inflight_rating,ground_rating,money_rating,recomindation
"elegance, comfort, and hospitality",Iman Yusuf,Austria,11th January 2026,Trip Verified,11th January 2026,A320 / A350-900,A320 / A350-900,Economy Class,Djibouti to Milan via Doha Hamad,January 2026,10/10,5.0,5.0,5.0,5.0,5.0,5,
Catering was average,Michael Schade,Thailand,8th January 2026,Trip Verified,8th January 2026,A380/B788,A380/B788,Economy Class,Bangkok to Frankfurt via Doha,December 2025,5/10,4.0,4.0,2.0,4.0,3.0,2,
like a first class experience,J Calenski,United Kingdom,6th January 2026,Trip Verified,6th January 2026,Boeing 777,Boeing 777,Business Class,Heathrow to Perth via Doha,December 2025,10/10,4.0,5.0,5.0,3.0,5.0,5,
deeply disappointing,Nenad Vukusic,Croatia,1st January 2026,Trip Verified,1st January 2026,,Solo Leisure,Economy Class,Abu Dhabi to Doha ,December 2025,1/10,1.0,,,,1.0,1,
an incredible experience,Chantal van der Merwe,South Africa,30th December 2025,Not Verified,30th December 2025,Boeing 787-9 / A350-1000,Boeing 787-9 / A350-1000,Business Class,Munich to Johannesburg via Doha,December 2025,10/10,4.0,5.0,5.0,5.0,5.0,5,
go-to airline for long travel,Mohamed Alkowari,Bahrain,26th December 2025,Trip Verified,26th December 2025,,Solo Leisure,Economy Class,Tokyo Narita to Doha,December 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
ate and drank all that I wanted,Anders Pedersen,Rwanda,26th December 2025,Trip Verified,26th December 2025,A350-900,A350-900,Economy Class,Casablanca to Doha,December 2025,8/10,3.0,3.0,4.0,4.0,4.0,4,
Crew was hard working,J Mursen,Germany,24th December 2025,Trip Verified,24th December 2025,Boeing 787,Boeing 787,Economy Class,Hanoi to Dusseldorf via Doha,December 2025,7/10,2.0,5.0,3.0,3.0,3.0,4,
revelation on this flight was Starlink,Rajan Parrikar,Iceland,22nd December 2025,Trip Verified,22nd December 2025,Boeing 787-8,Boeing 787-8,Business Class,Doha to Goa,December 2025,10/10,5.0,5.0,,,4.0,4,
at the top of the industry,Rajan Parrikar,Iceland,22nd December 2025,Trip Verified,22nd December 2025,Boeing 787-8,Boeing 787-8,Business Class,CPH to DOH,December 2025,10/10,5.0,5.0,5.0,,4.0,4,
remains my choice of airline,Mercy Alexander,United States,17th December 2025,Trip Verified,17th December 2025,,Solo Leisure,Economy Class,Philadelphia to Nagpur via Doha,December 2025,9/10,5.0,5.0,5.0,5.0,5.0,5,
quite underwhelming,T Lusillo,Australia,17th December 2025,Trip Verified,17th December 2025,,Family Leisure,Economy Class,Doha to Paris ,November 2025,3/10,2.0,1.0,3.0,3.0,2.0,4,
remains my airline of choice,Ahmed Almannaei,United Arab Emirates,16th December 2025,Trip Verified,16th December 2025,A320 / Boeing 787-8,A320 / Boeing 787-8,Business Class,Sharjah to Phuket via Doha,December 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
excellent and memorable,Mauro Tostes,Brazil,15th December 2025,Not Verified,15th December 2025,Boeing 787,Boeing 787,Economy Class,Sao Paulo to Moscow via Doha,December 2025,10/10,5.0,5.0,5.0,5.0,5.0,4,
no compensation has been issued,T Kalan,United States,15th December 2025,Trip Verified,15th December 2025,A350,A350,Economy Class,Boston to Muscat via Doha,August 2025,1/10,3.0,4.0,3.0,3.0,1.0,1,
only one meal,G Murtens,Germany,14th December 2025,Trip Verified,14th December 2025,Boeing 787,Boeing 787,Economy Class,Dusseldorf to Doha,December 2025,6/10,3.0,4.0,2.0,3.0,5.0,4,
completely grateful of the gesture,L Kan,United States,13th December 2025,Trip Verified,13th December 2025,,Family Leisure,Business Class,Doha to Boston,October 2025,10/10,5.0,5.0,5.0,4.0,5.0,5,
give no butter or salt and pepper,P Ferris,Australia,9th December 2025,Trip Verified,9th December 2025,,Family Leisure,Economy Class,Brisbane to Barcelona via Doha,December 2025,4/10,2.0,2.0,2.0,4.0,2.0,2,
Service was surprisingly inattentive,S Parlin,United States,7th December 2025,Trip Verified,7th December 2025,Boeing 777-300er,Boeing 777-300er,Business Class,Doha to Seattle,December 2025,5/10,5.0,2.0,1.0,,2.0,2,
a very comfortable way to travel,G Mayes,United States,5th December 2025,Trip Verified,5th December 2025,Boeing 777,Boeing 777,Business Class,New York to Nairobi via Doha,October 2025,9/10,5.0,4.0,5.0,4.0,4.0,4,
most professional people,S Boyle,Taiwan,3rd December 2025,Trip Verified,3rd December 2025,,Solo Leisure,Business Class,Bangkok to Johannesburg via Doa,November 2025,9/10,5.0,5.0,5.0,5.0,5.0,5,
missed our connection,R Walderren,Netherlands,2nd December 2025,Trip Verified,2nd December 2025,,Solo Leisure,Economy Class,Doha to Frankfurt,November 2025,1/10,3.0,3.0,1.0,3.0,1.0,1,
outstanding cabin crew,M Collie,Ireland,25th November 2025,Not Verified,25th November 2025,A350,A350,Business Class,Johanesberg to Dublin via Doha,November 2025,9/10,4.0,5.0,5.0,4.0,3.0,4,
they deliver value for money,Charles Thompson,Australia,24th November 2025,Not Verified,24th November 2025,,Couple Leisure,Economy Class,Doha to Brisbane,November 2025,6/10,1.0,5.0,3.0,,5.0,4,
The service was overwhelming,Antje Schulz,Germany,23rd November 2025,Not Verified,23rd November 2025,,Couple Leisure,Economy Class,Phuket to Frankfurt via Doha,November 2025,10/10,3.0,5.0,5.0,4.0,5.0,5,
Starlink WiFi service was excellent,Alwaleed Althani,Qatar,23rd November 2025,Trip Verified,23rd November 2025,Boeing 777-300ER,Boeing 777-300ER,Business Class,London to Doha ,November 2025,8/10,5.0,4.0,,3.0,4.0,3,
a delightful experience,Mahmud Noormohamed,United States,19th November 2025,Trip Verified,19th November 2025,A350-1000,A350-1000,Business Class,Dallas to Doha,November 2025,10/10,4.0,5.0,5.0,4.0,5.0,5,
Lots of kudos to Qatar Airways,Michael Fewster,Australia,19th November 2025,Trip Verified,19th November 2025,A350-900,A350-900,Economy Class,Athens to Adelaide via Doha,November 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
Dining was par excellence,Mahmud Noormohamed,United States,19th November 2025,Trip Verified,19th November 2025,Boeing 787-8/A330-300,Boeing 787-8/A330-300,First Class,Doha to Muscat,November 2025,9/10,5.0,5.0,4.0,5.0,5.0,5,
staff are always friendly,Trung Hieu Tran,Germany,17th November 2025,Trip Verified,17th November 2025,,Solo Leisure,Economy Class,Hanoi to Doha,November 2025,10/10,4.0,5.0,5.0,5.0,3.0,5,
recommend Qatar Airways,Prudence Qwabe,South Africa,13th November 2025,Trip Verified,13th November 2025,,Solo Leisure,Economy Class,Riyadh to Johannesburg via Doha,November 2025,10/10,4.0,5.0,5.0,5.0,5.0,5,
a great experience,D Khalin,Qatar,11th November 2025,Trip Verified,11th November 2025,,Solo Leisure,Economy Class,Doha to Beirut,November 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
Gold membership is useless,M Bialoglowy  ,Portugal,8th November 2025,Trip Verified,8th November 2025,,Solo Leisure,Economy Class,Doha to Lisbon,November 2025,4/10,3.0,1.0,4.0,3.0,2.0,2,
Service and food outstanding,Michael Schade,Germany,1st November 2025,Trip Verified,1st November 2025,A359,A359,Business Class,Doha to Singapore,October 2025,10/10,5.0,5.0,5.0,3.0,5.0,4,
Seat comfortable and private,Michael Schade,Germany,31st October 2025,Trip Verified,31st October 2025,Boeing 787-9,Boeing 787-9,Business Class,Düsseldorf to Doha,October 2025,6/10,5.0,5.0,3.0,3.0,4.0,3,
Excellent airline,Frank De Graaf,South Africa,21st October 2025,Trip Verified,21st October 2025,Boeing 777,Boeing 777,Economy Class,Cape Town to Doha,October 2025,10/10,5.0,5.0,5.0,4.0,5.0,5,
operated by an all-economy A321,Wael Taha,Saudi Arabia,19th October 2025,Trip Verified,19th October 2025,A321,A321,Economy Class,Medina to Amsterdam via Doha,October 2025,5/10,3.0,5.0,4.0,,5.0,4,
Seat could not be adjusted,Michael Schade,Germany,14th October 2025,Trip Verified,14th October 2025,A380,A380,Business Class,Bangkok to Doha,September 2025,1/10,1.0,4.0,2.0,1.0,4.0,1,
no compensation,Rolf Köpke,Qatar,12th October 2025,Trip Verified,12th October 2025,,Family Leisure,Economy Class,Dusseldorf to Doha,August 2025,1/10,4.0,5.0,4.0,4.0,1.0,4,
will be forever grateful,J McLean,Australia,9th October 2025,Trip Verified,9th October 2025,,Couple Leisure,Economy Class,Athens to Doha,October 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
IFE did not work,Michael Schade,Germany,8th October 2025,Trip Verified,8th October 2025,Boeing 787-9,Boeing 787-9,Business Class,Doha to Munich,September 2025,5/10,4.0,5.0,4.0,1.0,5.0,2,
an exceptional experience,Zainab Alhaddawi,Canada,6th October 2025,Trip Verified,6th October 2025,,Couple Leisure,Economy Class,Munich to Doha,October 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
I requested this to be refunded,D Leare,Australia,6th October 2025,Trip Verified,6th October 2025,,Couple Leisure,Business Class,Rome to Singapore via Doha ,July 2025,1/10,2.0,3.0,,,1.0,1,
a bus ride from the terminal,Alwaleed Althani,Qatar,30th September 2025,Trip Verified,30th September 2025,A333,A333,First Class,Doha to Amman,September 2025,6/10,2.0,3.0,3.0,,5.0,4,
"extremely professional, kind, and caring",Erkul Kavalci,United Kingdom,24th September 2025,Trip Verified,24th September 2025,,Solo Leisure,Economy Class,Jeddah to Doha,September 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
quality of wine reduced0,S Malsche ,Thailand,23rd September 2025,Trip Verified,23rd September 2025,Boeing 787-9,Boeing 787-9,Business Class,Frankfurt to Bangkok via Doha,September 2025,5/10,4.0,5.0,2.0,3.0,5.0,2,
a truly world class airline,H Foster,Zambia,18th September 2025,Trip Verified,18th September 2025,"Boeing 787, A350","Boeing 787, A350",Economy Class,London Heathrow to Lusaka via Doha,August 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
Service efficient and friendly,Michael Schade,Germany,14th September 2025,Trip Verified,14th September 2025,Boeing 787-9,Boeing 787-9,Business Class,Doha to Frankfurt,September 2025,8/10,5.0,5.0,4.0,3.0,3.0,3,
Mini Qsuite very private and comfortable,Michael Schade,Germany,13th September 2025,Trip Verified,13th September 2025,Boeing 787-9,Boeing 787-9,Business Class,Bangkok to Doha,September 2025,5/10,4.0,5.0,2.0,3.0,4.0,2,
seats have been reassigned,Romana Malik,United States,7th September 2025,Trip Verified,7th September 2025,,Family Leisure,Economy Class,Doha to Boston ,September 2025,8/10,5.0,5.0,5.0,5.0,5.0,4,
fantastic and extremely comfortable,J Raiz,United Kingdom,2nd September 2025,Trip Verified,2nd September 2025,,Solo Leisure,Business Class,Doha to London,August 2025,10/10,5.0,5.0,5.0,5.0,5.0,3,
I will remain a loyal customer,Iman Yusuf,Austria,1st September 2025,Trip Verified,1st September 2025,,Solo Leisure,Economy Class,Jeddah to Munich via Doha,August 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
I was more than impressed,Ronald Zwart,New Zealand,26th August 2025,Not Verified,26th August 2025,A380,A380,Business Class,Sydney to Doha,June 2025,10/10,4.0,5.0,5.0,5.0,5.0,5,
the aircraft was swapped,Dmitriy Berezin,United Arab Emirates,21st August 2025,Trip Verified,21st August 2025,,Business,Business Class,Sharjah to Moscow via Doha,May 2025,4/10,,,,,,2,
causing me to miss my flight,Jarryd Domingo,South Africa,19th August 2025,Trip Verified,19th August 2025,,Solo Leisure,Economy Class,Johannesburg to Vienna,August 2025,1/10,,,,,1.0,1,
an experience that borders on First,Rajan Parrikar,Iceland,18th August 2025,Trip Verified,18th August 2025,Boeing 787-8,Boeing 787-8,Business Class,Doha to Copenhagen,August 2025,10/10,5.0,5.0,4.0,,4.0,4,
on-board service impeccable,P Jannir,Iceland,18th August 2025,Trip Verified,18th August 2025,Boeing 787-8,Boeing 787-8,Business Class,Goa to Doha,August 2025,10/10,5.0,5.0,4.0,,4.0,4,
cabin temperature was freezing,S Marulc,Poland,10th August 2025,Trip Verified,10th August 2025,"Boeing 777-200, / A330-200","Boeing 777-200, / A330-200",Economy Class,Warsaw to Seychelles via Doha,August 2025,5/10,3.0,5.0,5.0,4.0,5.0,3,
an outstanding experience,Bhathiya Alagoda,Sri Lanka,4th August 2025,Trip Verified,4th August 2025,Boeing 787 /  777-300,Boeing 787 /  777-300,Economy Class,Colombo to London via Doha,August 2025,10/10,5.0,5.0,5.0,5.0,3.0,5,
inflight entertainment wasn't working,Roger Langdon,South Africa,28th July 2025,Not Verified,28th July 2025,,Family Leisure,Economy Class,Bangkok to Cape Town via Doha,July 2025,3/10,5.0,4.0,4.0,1.0,4.0,3,
best airline I’ve experienced,S Bareno,Peru,26th July 2025,Trip Verified,26th July 2025,Boeing,Boeing,Economy Class,Tokyo to Madrid via Lima,July 2025,10/10,3.0,5.0,5.0,5.0,5.0,5,
nothing short of exceptional,D Hergud,United Kingdom,21st July 2025,Trip Verified,21st July 2025,Boeing 787-8,Boeing 787-8,Business Class,Doha to Birmingham,June 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
very disappointed in the qualty of service,Ash Hogan,Australia,18th July 2025,Not Verified,18th July 2025,Boeing 777,Boeing 777,Economy Class,Melbourne to Venice via Athens,July 2025,1/10,1.0,1.0,1.0,1.0,1.0,1,
forgotten how good it can be,E Michaels,United Kingdom,16th July 2025,Trip Verified,16th July 2025,Boeing 777,Boeing 777,Business Class,London to Doha,July 2025,9/10,5.0,5.0,5.0,5.0,5.0,5,
"comfort, service, and efficiency",N Pardele,France,7th July 2025,Trip Verified,7th July 2025,,Solo Leisure,Economy Class,Kathmandu to Paris via Doha,July 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
service was both warm and precise,Rajan Parrikar,Iceland,7th July 2025,Trip Verified,7th July 2025,Boeing 787-8,Boeing 787-8,Business Class,Copenhagen to Doha,July 2025,9/10,5.0,5.0,3.0,,4.0,4,
maintains a high standard of service,Rajan Parrikar,Iceland,7th July 2025,Trip Verified,7th July 2025,Boeing 787-8,Boeing 787-8,Business Class,Doha to Goa,July 2025,9/10,5.0,5.0,3.0,,4.0,4,
substantial delay for my trip,S Masikoto,Hong Kong,5th July 2025,Trip Verified,5th July 2025,Boeing 777-300er,Boeing 777-300er,Business Class,Hong Kong to Sao Paulo via Doha,June 2025,2/10,4.0,5.0,4.0,,1.0,1,
Boarding at Doha was chaotic,S Weber,Germany,4th July 2025,Trip Verified,4th July 2025,Boeing 789,Boeing 789,Economy Class,Doha to Bangkok,July 2025,2/10,1.0,2.0,1.0,5.0,1.0,1,
cancelled the connecting flight,H Karish,Singapore,3rd July 2025,Trip Verified,3rd July 2025,,Business,Economy Class,Singapore to Madrid via Doha,June 2025,1/10,,,,,,3,
a good airline and decent value,Nigel Williams,United Kingdom,21st June 2025,Not Verified,21st June 2025,Boeing 777/A380,Boeing 777/A380,Economy Class,Bangkok to London Heathrow via Doha,June 2025,7/10,4.0,5.0,2.0,3.0,4.0,4,
arrived 77 minutes late,Michael Beer,Austria,20th June 2025,Trip Verified,20th June 2025,,Couple Leisure,Economy Class,Denpasar to Vienna via Doha,June 2025,3/10,2.0,3.0,2.0,,3.0,2,
pay attention to details that matter,Theona Knight,Kuwait,19th June 2025,Trip Verified,19th June 2025,,Solo Leisure,Business Class,Kuwait to Miami via Doha,June 2025,10/10,5.0,5.0,5.0,5.0,2.0,5,
Overall a great flight,Michael Schade,Germany,18th June 2025,Trip Verified,18th June 2025,Boeing 777-300,Boeing 777-300,Business Class,Doha to London Heathrow,June 2025,8/10,5.0,3.0,5.0,4.0,4.0,5,
very enjoyable first time experience,Ronald Zwart,New Zealand,17th June 2025,Not Verified,17th June 2025,A380,A380,Business Class,Sydney to Doha,June 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
Service hectic and not overly friendly,Michael Schade,Germany,17th June 2025,Trip Verified,17th June 2025,Boeing 773,Boeing 773,Business Class,Addis Ababa to Doha,June 2025,5/10,5.0,3.0,4.0,5.0,4.0,3,
hardworking cabin crew,Michael Schade,Germany,12th June 2025,Trip Verified,12th June 2025,A320,A320,Business Class,Doha to Addis Ababa,June 2025,8/10,5.0,5.0,5.0,4.0,3.0,4,
average service and food,S Claasen,Netherlands,11th June 2025,Trip Verified,11th June 2025,Boeing 788,Boeing 788,Economy Class,Bangkok to Doha,June 2025,6/10,2.0,3.0,3.0,4.0,5.0,3,
excellent and so helpful,Warren Stocker,United Kingdom,7th June 2025,Trip Verified,7th June 2025,Boeing 777 / 787,Boeing 777 / 787,Economy Class,Seychelles to Gatwick via Doha,June 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
herring bone business class!,Alwaleed Althani,Qatar,5th June 2025,Trip Verified,5th June 2025,Boeing 777,Boeing 777,First Class,Doha to Beirut,June 2025,7/10,4.0,4.0,3.0,1.0,5.0,3,
head and shoulders above the rest,Karl Watkin,Australia,29th May 2025,Trip Verified,29th May 2025,A380-800,A380-800,Economy Class,Perth to Warsaw via Doha,May 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
Fantastic staff,E Larsen,New Zealand,21st May 2025,Trip Verified,21st May 2025,A350 / A380,A350 / A380,Economy Class,Auckland to London via Doha,May 2025,10/10,4.0,5.0,5.0,4.0,5.0,5,
seats are terribly uncomfortable,Debby van Zyl,South Africa,19th May 2025,Trip Verified,19th May 2025,A350-900,A350-900,Economy Class,Prague to Cape Town via Doha,May 2025,6/10,1.0,5.0,3.0,,3.0,3,
asked if I could be moved,Mark Allen,United States,2nd May 2025,Not Verified,2nd May 2025,Boeing 777,Boeing 777,Economy Class,Lahore to London via Doha,April 2025,5/10,3.0,4.0,5.0,5.0,1.0,2,
out and back were outstanding,Maria Basanou,Greece,1st May 2025,Trip Verified,1st May 2025,A320 / Boeing 777-300ER,A320 / Boeing 777-300ER,Economy Class,Athens to Phnom Penh via Doha,April 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
Q-suites are really nice,Jason Hill,Australia,1st May 2025,Trip Verified,1st May 2025,,Couple Leisure,First Class,Dublin to Sydney via Doha,April 2025,6/10,5.0,4.0,2.0,5.0,5.0,3,
My food was poor,A Kelsim,Singapore,1st May 2025,Trip Verified,1st May 2025,,Business,Economy Class,Singapore to Doha,January 2025,3/10,3.0,1.0,2.0,3.0,1.0,1,
The service was outstanding,Mirzokhidjon Khayitboev,Uzbekistan,29th April 2025,Not Verified,29th April 2025,A320,A320,Economy Class,Doha to Karachi,April 2025,9/10,3.0,5.0,3.0,4.0,5.0,4,
WIFI service is amazing,Alwaleed Althani,Qatar,28th April 2025,Trip Verified,28th April 2025,Boeing 777-300,Boeing 777-300,Business Class,Doha to London Heathrow,April 2025,8/10,5.0,5.0,5.0,3.0,5.0,4,
didn’t qualify for Qpoints,Mehdi Rakhamimov,Azerbaijan,22nd April 2025,Trip Verified,22nd April 2025,,Couple Leisure,Economy Class,Baku to Guangzhou via Doha,February 2025,3/10,4.0,4.0,3.0,3.0,3.0,3,
comfortable and enjoyable flights,Dhrubajyoti Samanta,United Kingdom,19th April 2025,Trip Verified,19th April 2025,A350-900,A350-900,Business Class,Doha to Singapore,December 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
service was personal and faultless,Graham Henrickson,Australia,19th April 2025,Trip Verified,19th April 2025,A 350-900,A 350-900,Business Class,Rome to Doha,March 2025,10/10,5.0,5.0,5.0,5.0,5.0,4,
wonderful service provided,Antony Peter,India,18th April 2025,Trip Verified,18th April 2025,,Solo Leisure,Business Class,Miami to Cochin via Doha,February 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
The WIFI was super fast,Alwaleed Althani,Qatar,16th April 2025,Trip Verified,16th April 2025,A350-900,A350-900,Business Class,Male to Doha,April 2025,10/10,4.0,4.0,2.0,5.0,5.0,4,
best Business Class flight,N. Siotto,United Arab Emirates,13th April 2025,Trip Verified,13th April 2025,A350-900,A350-900,Business Class,Dubai to Doha,April 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
has become my favourite airline,Don Beddage,Canada,11th April 2025,Trip Verified,11th April 2025,Boeing 777,Boeing 777,Business Class,Colombo to Toronto via Doha,March 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
cabin service was excellent,Alwaleed Althani,Qatar,8th April 2025,Trip Verified,8th April 2025,Boeing 777,Boeing 777,Business Class,Doha to Male ,April 2025,9/10,4.0,5.0,3.0,3.0,5.0,4,
I complained on each flight,Jonathan Griffiths,Japan,6th April 2025,Trip Verified,6th April 2025,Various,Various,Economy Class,Tokyo to Sofia via Doha,April 2025,3/10,3.0,1.0,1.0,2.0,3.0,3,
a pleasure flying with you,Petrus Smith,South Africa,30th March 2025,Trip Verified,30th March 2025,,Business,Business Class,Johannesburg to Amman via Doha,March 2025,9/10,5.0,5.0,5.0,3.0,5.0,5,
still not heard from them for 5 weeks,Ian Goody ,United Kingdom,27th March 2025,Not Verified,27th March 2025,Boeing 777 ,Boeing 777 ,Economy Class,Perth to London Heathrow via Doha,July 2024,2/10,1.0,2.0,2.0,3.0,3.0,3,
cabin was unbearably cold,A Jalenad,United States,21st March 2025,Trip Verified,21st March 2025,Boeing 777,Boeing 777,Economy Class,Doha to Seattle ,March 2025,1/10,2.0,1.0,,4.0,2.0,2,
could have just let me move,T Reddy,India,18th March 2025,"Trip | Since 2023, I have consistently avoided flying Qatar Airways because of my sub-par experience in Economy Class. There are only 2 options to Maputo either Qatar Airways or Ethiopian and I decided to go with Qatar. Mumbai to Qatar leg is operated by Indigo which has no IFE and on a 3.5 hour flight, you get a sandwich and a small juice with some crackers and really uncomfortable seats (I admit that was my mistake since I did not check thoroughly).  Boarding for the flight to Maputo was chaos by a disorganised gate agent. After departure they served a sandwich, due to the tight connection time, I did not have any time to pick up snacks at the airport. I ended up seated next to a plus sized lady with a rather fussy infant, who had a middle seat. Later, I saw there were quite a few empty seats and they could have just let me move and allowed both of us a bit of comfort, but by the time the seat belt signs were off, others had already spread out and fallen asleep in those seats. The main meal was served 1.5 hours before arrival in Maputo and while the taste was good it was inadequate. My IFE stopped working 5 hours or so into the flight. ",18th March 2025,A350-900 / Boeing 737 Max8,A350-900 / Boeing 737 Max8,Economy Class,Mumbai to Maputo via Doha,March 2025,2/10,2.0,2.0,2.0,,1.0,2,
Indigo service not up to expectations,T Reddy,India,18th March 2025,Trip Verified,18th March 2025,A350-900 / Boeing 737 Max8,A350-900 / Boeing 737 Max8,Economy Class,Maputo to Mumbai via Doha,March 2025,6/10,4.0,3.0,3.0,3.0,4.0,3,
Very consistent service,Luis De Jesus,United States,16th March 2025,Trip Verified,16th March 2025,,Business,Business Class,Bangkok to Doha,February 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
service was spot on,Luis De Jesus,United Kingdom,16th March 2025,Trip Verified,16th March 2025,,Business,Business Class,Doha to Phuket,February 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
top quality crew,Luis De Jesus,United States,16th March 2025,Trip Verified,16th March 2025,,Business,Business Class,Doha to New York,February 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,
